,Timestamp,Embedded_text,Comments,Likes,Retweets,date,heure
1134,2020-11-18T14:53:49.000Z,"Eric #Zemmour sur 
@CNEWS
 : « On veut imposer aux Polonais et aux Hongrois l’idéologie multiculturaliste, féministe et pro-LGBT. Eux défendent leur souveraineté et une certaine conception de la civilisation européenne » #FAI
67
387
1.7K",67.0,387.0,1700.0,2020-11-18 14:53:49,1900-01-01 14:53:49
1135,2020-11-19T21:31:00.000Z,"Eric #Zemmour sur 
@CNEWS
 : « 
@barbarapompili
 nous dit qu’on va peut-être avoir des coupures d’électricité cet hiver. Et on nous dit cela très tranquillement. Vous imaginez les conséquences ?? » #FAI
108
479
1.9K",108.0,479.0,1900.0,2020-11-19 21:31:00,1900-01-01 21:31:00
1136,2020-11-19T20:58:00.000Z,"#Zemmour sur 
@CNEWS
 : «Les écologistes sont les Monsieur Jourdain de l’idéologie. Ils en font sans le savoir. 
@barbarapompili
 nous annonce qu'on va avoir des pénuries d’électricité mais qu’il faut diminuer la part de l’énergie nucléaire dans la production totale d’électricité»
44
179
795",44.0,179.0,795.0,2020-11-19 20:58:00,1900-01-01 20:58:00
1137,2020-11-19T20:10:00.000Z,"Eric #Zemmour sur 
@CNEWS
 : « Israël est l’ennemi de l’Iran. L’Arabie Saoudite est l’ennemie de l’Iran. Donc Israël est l’ami de l’Arabie Saoudite » #FAI
59
94
714",59.0,94.0,714.0,2020-11-19 20:10:00,1900-01-01 20:10:00
1138,2020-11-19T19:47:00.000Z,"Eric #Zemmour sur 
@CNEWS
 : « Les ONG défendent les victimes d’un islamisme rigoriste en Arabie Saoudite. Mais elles ne se préoccupent des victimes de l’islamisme rigoriste, ici, en France » #FAI
26
216
983",26.0,216.0,983.0,2020-11-19 19:47:00,1900-01-01 19:47:00
1139,2020-11-19T19:20:13.000Z,"Eric #Zemmour sur 
@CNEWS
 : « Les ONG ont une conception de la politique que je qualifierais de néocolonialiste. C’est Jules Ferry. Elles veulent apporter la civilisation aux peuples inférieurs » « FAI
21
134
639",21.0,134.0,639.0,2020-11-19 19:20:13,1900-01-01 19:20:13
1140,2020-11-19T09:59:00.000Z,"Eric #Zemmour sur 
@CNEW
 : « On ne peut pas obliger les gens à vivre ensemble quand ils n’ont pas les mêmes valeurs. Et ça, personne ne veut le voir. On continue à nous parler de mixité sociale » #FAI
157
697
2.8K",157.0,697.0,2800.0,2020-11-19 09:59:00,1900-01-01 09:59:00
1141,2020-11-19T09:10:00.000Z,"Eric #Zemmour sur 
@CNEWS
 #separatisme : « Le préfet pourra demander la signature d’une charte des valeurs républicaines… Ils vont trembler chez les Frères Musulmans ! » #FAI
83
450
2.2K",83.0,450.0,2200.0,2020-11-19 09:10:00,1900-01-01 09:10:00
1142,2020-11-19T08:33:33.000Z,"« L’#écologie est transmission et conservation. Elle nécessite une politique du patrimoine. Elle est profondément #réactionnaire. Elle ne s’oppose pas à la propriété, mais à un capitalisme moderne qui ne connaît plus que les flux, et leur circulation »
lefigaro.fr
Éric Zemmour: «La vraie écologie est d’essence conservatrice»
CHRONIQUE - Dans son essai Durer (Les Belles Lettres), Pierre Caye dessine une conception de l’écologie qui tranche utilement avec la vision progressiste des Verts.
11
44
274",11.0,44.0,274.0,2020-11-19 08:33:33,1900-01-01 08:33:33
1143,2020-11-20T19:46:57.000Z," Bon week-end et à lundi !
171
389
2.3K",171.0,389.0,2300.0,2020-11-20 19:46:57,1900-01-01 19:46:57
1144,2020-11-20T17:34:57.000Z,"Rdv à 19h sur 
@CNEWS
 pour un nouveau #Faceafave avec 
@jccambadelis
 89
70
577",89.0,70.0,577.0,2020-11-20 17:34:57,1900-01-01 17:34:57
1145,2020-11-20T07:15:00.000Z,"Eric #Zemmour sur 
@CNEWS
 : « Il y a un lien entre l’écologie et l’enracinement. Les écologistes devraient être contre l’immigration qui détruit l’équilibre des peuples » #FAI
72
277
1.5K",72.0,277.0,1500.0,2020-11-20 07:15:00,1900-01-01 07:15:00
1146,2020-11-21T13:43:13.000Z,"« La thèse ne convainc guère, mais permet à tous les défenseurs de l’ordre sanitaire, à tous les ennemis du docteur #Raoult, à tous les thuriféraires du confinement d’occulter les critiques acerbes et fondées de la réaction du gouv  à cette #épidémie »
lefigaro.fr
Éric Zemmour: «Le complotisme, ce mot des élites pour disqualifier toute critique»
CHRONIQUE - Il y a une vérité, elle est officielle, et il est interdit de la contester.
35
168
783",35.0,168.0,783.0,2020-11-21 13:43:13,1900-01-01 13:43:13
1147,2020-11-21T09:36:53.000Z,"Eric #Zemmour face à 
@jccambadelis
 sur 
@CNEWS
 : « La réalité, c’est l’émergence d’enclaves étrangères, de plus en plus nombreuses sur le territoire, qui sont régies par l’islam et les caïds de la drogue » #FAI
94
518
2.1K",94.0,518.0,2100.0,2020-11-21 09:36:53,1900-01-01 09:36:53
1148,2020-11-22T17:59:07.000Z,"Eric #Zemmour face à 
@jccambadelis
 sur 
@CNEWS
 : « La gauche a tout trahi. Elle a trahi le peuple au nom du libre-échange, elle a trahi la Nation au nom de l’Europe » #FAI
57
386
1.9K",57.0,386.0,1900.0,2020-11-22 17:59:07,1900-01-01 17:59:07
1149,2020-11-22T17:43:09.000Z,"Eric #Zemmour face à 
@jccambadelis
 sur 
@CNEWS
 : « Ce n’est pas la République qui apporte l’universalisme, c’est le catholicisme. L’universalisme est enraciné dans une terre et dans une civilisation » #FAI
24
141
796",24.0,141.0,796.0,2020-11-22 17:43:09,1900-01-01 17:43:09
1150,2020-11-22T11:30:41.000Z,"Eric #Zemmour face à 
@jccambadelis
 sur 
@CNEWS
 : « Il y a une tentative d’islamisation du pays et je suis prêt à m’allier avec quiconque veut lutter contre cette islamisation. (…) Les identitaires sont des patriotes qui défendent leur pays dans un environnement très hostile »
136
633
2.8K",136.0,633.0,2800.0,2020-11-22 11:30:41,1900-01-01 11:30:41
1151,2020-11-22T08:57:38.000Z,"Eric #Zemmour face à 
@jccambadelis
 sur 
@CNEWS
 : « Dans les années 80, Jean-Marie Le Pen annonçait exactement ce qui se passe aujourd’hui » #FAI
124
625
2.8K",124.0,625.0,2800.0,2020-11-22 08:57:38,1900-01-01 08:57:38
1152,2020-11-23T21:53:30.000Z,"Eric #Zemmour sur 
@CNEWS
 : « Dans les médias français, la longévité politique, quand c’est pour Mme Merkel, on trouve cela magnifique. Quand c’est pour Poutine, c’est une dictature ! » #FAI
161
761
3.7K",161.0,761.0,3700.0,2020-11-23 21:53:30,1900-01-01 21:53:30
1153,2020-11-23T20:41:24.000Z,"Eric #Zemmour sur 
@CNEWS
 : « On dit qu’Angela Merkel n’est pas idéologue. Elle est au contraire très idéologue ! Et son idéologie, c’est le libéralisme économique et sociétal » #FAI
19
110
699",19.0,110.0,699.0,2020-11-23 20:41:24,1900-01-01 20:41:24
1154,2020-11-23T19:27:07.000Z,"Eric #Zemmour sur 
@CNEWS
 : « Angela Merkel est la plus mauvaise chancelière allemande de l’après-guerre. La plus médiocre et la plus politicienne de tous » #FAI
87
329
1.5K",87.0,329.0,1500.0,2020-11-23 19:27:07,1900-01-01 19:27:07
1155,2020-11-24T22:11:00.000Z,"Eric #Zemmour sur 
@CNEWS
 #Migrants #République : « Darmanin ordonne la dispersion des migrants. Et au premier accroc, il ordonne une enquête sur les débordements de la police. On est en plein dans le double langage macronien » #FAI
81
521
2.3K",81.0,521.0,2300.0,2020-11-24 22:11:00,1900-01-01 22:11:00
1156,2020-11-24T19:17:17.000Z,"Eric #Zemmour sur 
@CNEWS
 #Migrants #République : « C’est une opération menée de main de maître par des organisations qui font cela depuis 40 ans. C’est toujours le même schéma : provocation, répression, compassion, indignation » #FAI
99
830
3.1K",99.0,830.0,3100.0,2020-11-24 19:17:17,1900-01-01 19:17:17
1157,2020-11-24T15:45:50.000Z,"Eric #Zemmour sur 
@CNEWS
 : « Il reste des gens respectables dans les milieux souverainistes, mais ils n’ont pas l’ampleur d’un Charles Pasqua, d’un Philippe Seguin, d’un Philippe de Villiers ou d’un Jean-Marie Le Pen » #FAI
79
221
1K",79.0,221.0,1000.0,2020-11-24 15:45:50,1900-01-01 15:45:50
1158,2020-11-24T14:18:59.000Z,"Ce soir dans #Facealinfo nous parlerons de l'évacuation du camp de migrants de la place de la #Republique

A ce soir sur 
@CNEWS
 141
254
1.4K",141.0,254.0,1400.0,2020-11-24 14:18:59,1900-01-01 14:18:59
